time,WHE,RSE,GRE,MHE,B1E,BME,CWE,DWE,EQE,FRE,HPE,OFE,UTE,WOE,B2E,CDE,DNE,EBE,FGE,HTE,OUE,TVE,UNE
1333263600000000000,918,43,2,873,0,352,0,0,41,106,36,62,9,0,58,0,30,0,0,4,0,37,138
1333263660000000000,913,43,0,870,0,354,0,0,35,107,37,61,9,0,58,0,30,0,0,4,0,37,138
1333263720000000000,872,43,2,827,0,354,0,0,41,107,38,61,9,0,8,0,30,0,0,4,0,37,138
1333263780000000000,872,43,2,827,0,354,0,0,40,106,37,61,9,0,7,0,30,0,0,4,0,37,142
1333263840000000000,772,41,2,729,0,352,0,0,40,106,36,61,9,0,8,0,31,0,0,4,0,37,45
1333263900000000000,881,43,2,836,0,459,0,0,40,108,36,61,9,0,8,0,31,0,0,4,0,37,43
1333263960000000000,1005,180,2,823,0,454,0,0,40,106,37,61,9,0,8,0,30,0,0,4,0,37,37
1333264020000000000,1124,173,0,951,0,445,0,0,40,105,37,60,9,0,7,0,30,0,0,4,0,38,176
1333264080000000000,1096,171,0,925,0,440,0,0,40,106,37,61,9,0,7,0,31,0,0,4,0,38,152
1333264140000000000,1046,173,2,871,0,444,0,0,40,106,36,15,9,0,8,0,30,0,0,4,0,38,141
1333264200000000000,1051,171,0,880,0,444,0,0,40,106,36,19,9,0,7,0,30,0,0,4,0,38,147
1333264260000000000,1055,171,4,880,0,451,0,0,41,106,36,15,9,0,8,0,30,0,0,4,0,37,143
1333264320000000000,1051,171,0,880,0,443,0,0,40,106,37,15,9,0,8,0,30,0,0,4,0,38,150
1333264380000000000,2467,169,0,2298,0,456,0,0,40,115,1429,15,9,0,8,0,31,0,0,4,0,38,153
1333264440000000000,2796,169,2,2625,0,447,0,0,42,114,1630,15,9,0,8,0,31,0,143,4,0,38,144
1333264500000000000,2874,169,4,2701,0,455,0,0,40,114,1719,15,9,0,8,0,31,0,130,4,0,37,139
1333264560000000000,2910,171,4,2735,0,454,0,0,40,114,1753,15,9,0,8,0,31,0,127,4,0,37,143
1333264620000000000,2924,169,2,2753,0,447,0,0,44,113,1773,15,9,0,8,0,31,0,127,4,0,38,144
