time,power
1584171730000000000,60
1584171732000000000,60
1584171734000000000,62
1584171736000000000,60
1584171738000000000,60
1584171740000000000,60
1584171742000000000,61
1584171744000000000,61
1584171746000000000,60
1584171748000000000,60
1584171750000000000,60
1584171752000000000,60
1584171754000000000,59
1584171756000000000,61
1584171758000000000,60
1584171760000000000,61
1584171762000000000,60
1584171764000000000,58
1584171766000000000,61
1584171768000000000,61
1584171770000000000,60
1584171772000000000,60
1584171774000000000,60
1584171776000000000,60
1584171778000000000,60
1584171780000000000,60
1584171782000000000,60
1584171784000000000,60
1584171786000000000,60
1584171788000000000,60
1584171790000000000,60
1584171792000000000,61
1584171794000000000,59
1584171796000000000,60
1584171798000000000,59
1584171800000000000,59
1584171802000000000,60
1584171804000000000,62
1584171806000000000,60
1584171808000000000,60
1584171810000000000,61
1584171812000000000,60
1584171814000000000,60
1584171816000000000,61
1584171818000000000,59
1584171820000000000,60
1584171822000000000,60
1584171824000000000,60
1584171826000000000,60
1584171828000000000,59
1584171830000000000,61
1584171832000000000,61
1584171834000000000,59
1584171836000000000,60
1584171838000000000,59
1584171840000000000,59
1584171842000000000,61
1584171844000000000,60
1584171846000000000,59
1584171848000000000,59
1584171850000000000,60
1584171852000000000,60
1584171854000000000,60
1584171856000000000,59
1584171858000000000,60
1584171860000000000,61
1584171862000000000,59
1584171864000000000,60
1584171866000000000,59
1584171868000000000,61
1584171870000000000,59
1584171872000000000,60
1584171874000000000,60
1584171876000000000,60
1584171878000000000,61
1584171880000000000,61
1584171882000000000,59
1584171884000000000,59
1584171886000000000,61
1584171888000000000,59
1584171890000000000,59
1584171892000000000,60
1584171894000000000,60
1584171896000000000,60
1584171898000000000,61
1584171900000000000,61
1584171902000000000,61
1584171904000000000,58
1584171906000000000,61
1584171908000000000,60
1584171910000000000,60
1584171912000000000,59
1584171914000000000,167
1584171916000000000,159
1584171918000000000,160
1584171920000000000,162
1584171922000000000,160
1584171924000000000,158
1584171926000000000,160
1584171928000000000,161
1584171930000000000,163
1584171932000000000,162
1584171934000000000,162
1584171936000000000,160
1584171938000000000,161
1584171940000000000,162
1584171942000000000,161
1584171944000000000,159
1584171946000000000,159
1584171948000000000,160
1584171950000000000,162
1584171952000000000,160
1584171954000000000,161
1584171956000000000,161
1584171958000000000,162
1584171960000000000,161
1584171962000000000,160
1584171964000000000,161
1584171966000000000,161
1584171968000000000,158
1584171970000000000,160
1584171972000000000,162
1584171974000000000,161
1584171976000000000,160
1584171978000000000,161
1584171980000000000,162
1584171982000000000,161
1584171984000000000,160
1584171986000000000,162
1584171988000000000,161
1584171990000000000,162
1584171992000000000,162
1584171994000000000,161
1584171996000000000,162
1584171998000000000,161
1584172000000000000,161
1584172002000000000,163
1584172004000000000,163
1584172006000000000,163
1584172008000000000,161
1584172010000000000,162
1584172012000000000,161
1584172014000000000,159
1584172016000000000,160
1584172018000000000,161
1584172020000000000,163
1584172022000000000,159
1584172024000000000,161
1584172026000000000,161
1584172028000000000,162
1584172030000000000,161
1584172032000000000,162
1584172034000000000,161
1584172036000000000,161
1584172038000000000,161
1584172040000000000,160
1584172042000000000,161
1584172044000000000,160
1584172046000000000,161
1584172048000000000,161
1584172050000000000,163
1584172052000000000,160
1584172054000000000,162
1584172056000000000,159
1584172058000000000,159
1584172060000000000,162
1584172062000000000,162
1584172064000000000,161
1584172066000000000,162
1584172068000000000,161
1584172070000000000,163
1584172072000000000,162
1584172074000000000,161
1584172076000000000,160
1584172078000000000,161
1584172080000000000,160
1584172082000000000,161
1584172084000000000,160
1584172086000000000,162
1584172088000000000,161
1584172090000000000,162
1584172092000000000,162
1584172094000000000,162
1584172096000000000,161
1584172098000000000,162
1584172100000000000,162
1584172102000000000,160
1584172104000000000,161
1584172106000000000,161
1584172108000000000,367
1584172110000000000,374
1584172112000000000,370
1584172114000000000,368
1584172116000000000,370
1584172118000000000,370
1584172120000000000,372
1584172122000000000,373
1584172124000000000,368
1584172126000000000,372
1584172128000000000,367
1584172130000000000,370
1584172132000000000,369
1584172134000000000,371
1584172136000000000,374
1584172138000000000,366
1584172140000000000,375
1584172142000000000,367
1584172144000000000,369
1584172146000000000,367
1584172148000000000,372
1584172150000000000,366
1584172152000000000,365
1584172154000000000,372
1584172156000000000,368
1584172158000000000,373
1584172160000000000,367
1584172162000000000,372
1584172164000000000,366
1584172166000000000,369
1584172168000000000,368
1584172170000000000,367
1584172172000000000,365
1584172174000000000,365
1584172176000000000,368
1584172178000000000,371
1584172180000000000,371
1584172182000000000,368
1584172184000000000,372
1584172186000000000,370
1584172188000000000,368
1584172190000000000,371
1584172192000000000,371
1584172194000000000,369
1584172196000000000,369
1584172198000000000,363
1584172200000000000,366
1584172202000000000,371
1584172204000000000,373
1584172206000000000,369
1584172208000000000,373
1584172210000000000,374
1584172212000000000,366
1584172214000000000,373
1584172216000000000,372
1584172218000000000,367
1584172220000000000,366
1584172222000000000,371
1584172224000000000,370
1584172226000000000,371
1584172228000000000,366
1584172230000000000,364
1584172232000000000,364
1584172234000000000,366
1584172236000000000,373
1584172238000000000,364
1584172240000000000,365
1584172242000000000,366
1584172244000000000,368
1584172246000000000,372
1584172248000000000,376
1584172250000000000,373
1584172252000000000,369
1584172254000000000,370
1584172256000000000,371
1584172258000000000,368
1584172260000000000,368
1584172262000000000,370
1584172264000000000,372
1584172266000000000,373
1584172268000000000,373
1584172270000000000,370
1584172272000000000,366
1584172274000000000,366
1584172276000000000,365
1584172278000000000,373
1584172280000000000,373
1584172282000000000,373
1584172284000000000,367
1584172286000000000,374
1584172288000000000,370
1584172290000000000,371
1584172292000000000,373
1584172294000000000,371
1584172296000000000,371
1584172298000000000,387
1584172300000000000,386
1584172302000000000,386
1584172304000000000,393
1584172306000000000,393
1584172308000000000,393
1584172310000000000,393
1584172312000000000,394
1584172314000000000,394
1584172316000000000,394
1584172318000000000,394
1584172320000000000,394
1584172322000000000,394
1584172324000000000,394
1584172326000000000,393
1584172328000000000,394
1584172330000000000,394
1584172332000000000,394
1584172334000000000,393
1584172336000000000,394
1584172338000000000,394
1584172340000000000,394
1584172342000000000,394
1584172344000000000,394
1584172346000000000,394
1584172348000000000,394
1584172350000000000,394
1584172352000000000,394
1584172354000000000,394
1584172356000000000,394
1584172358000000000,395
1584172360000000000,395
1584172362000000000,395
1584172364000000000,395
1584172366000000000,395
1584172368000000000,394
1584172370000000000,394
1584172372000000000,394
1584172374000000000,394
1584172376000000000,394
1584172378000000000,394
1584172380000000000,394
1584172382000000000,394
1584172384000000000,393
1584172386000000000,393
1584172388000000000,393
1584172390000000000,394
1584172392000000000,394
1584172394000000000,394
1584172396000000000,394
1584172398000000000,394
1584172400000000000,394
1584172402000000000,394
1584172404000000000,394
1584172406000000000,394
1584172408000000000,394
1584172410000000000,394
1584172412000000000,394
1584172414000000000,394
1584172416000000000,394
1584172418000000000,394
1584172420000000000,394
1584172422000000000,394
1584172424000000000,394
1584172426000000000,394
1584172428000000000,394
1584172430000000000,394
1584172432000000000,394
1584172434000000000,394
1584172436000000000,394
1584172438000000000,394
1584172440000000000,394
1584172442000000000,394
1584172444000000000,394
